#Temperatura			Magnetización			Error
  9.999999776482E-003        1.0000000000000000        0.0000000000000000     
  0.10000000149011612        1.0000000000000000        0.0000000000000000     
  0.20000000298023224        1.0000000000000000        0.0000000000000000     
  0.30000001192092896        1.0000000000000000        0.0000000000000000     
  0.40000000596046448       0.99999952316284180        9.6249403347817676E-007
  0.50000000000000000       0.99999976158142090        1.2209293733933739E-006
  0.60000002384185791       0.99999672174453735        8.8038916558014503E-006
  0.69999998807907104       0.99997901916503906        8.8038916558014503E-006
  0.80000001192092896       0.99991148710250854        5.7539373187908731E-006
  0.90000003576278687       0.99969023466110229        1.0857594347650405E-005
   1.0000000000000000       0.99928349256515503        1.3816117321122209E-005
   1.1000000238418579       0.99846076965332031        1.9963391345505364E-005
   1.1299999952316284       0.99811148643493652        2.3790944362814318E-005
   1.2000000476837158       0.99705952405929565        2.9632093517897606E-005
   1.3000000715255737       0.99477899074554443        4.1342924422084506E-005
   1.3999999761581421       0.99136000871658325        5.2486165313410176E-005
   1.5000000000000000       0.98646450042724609        7.0207888467909473E-005
   1.6000000238418579       0.97956150770187378        9.2219543389009806E-005
   1.7000000476837158       0.97012877464294434        1.2191833581281192E-004
   1.8000000715255737       0.95681524276733398        1.5922592572910530E-004
   1.8999999761581421       0.93878227472305298        2.1522168669595881E-004
   2.0000000000000000       0.91047376394271851        3.0717313718509688E-004
   2.1000001430511475       0.86917001008987427        5.0327567148751888E-004
   2.2000000476837158       0.77761423587799072        1.5256609987877741E-003
   2.2999999523162842       0.34901174902915955        6.2110139181888718E-003
   2.4000000953674316        9.8260000348091125E-002   2.5367082976372841E-003
   2.5000000000000000        6.6637501120567322E-002   1.7681908049022800E-003
   2.6000001430511475        5.0348248332738876E-002   1.3474696874274125E-003
   2.7000000476837158        3.8328748196363449E-002   1.0342276869757673E-003
   2.7999999523162842        3.3711500465869904E-002   9.0706425866774116E-004
   2.9000000953674316        2.9959749430418015E-002   7.9831384395065441E-004
   3.0000000000000000        2.5808332487940788E-002   8.1018230096464741E-004
   3.1000001430511475        2.6174999773502350E-002   7.9905883296733406E-004
   3.2000000476837158        2.3166665807366371E-002   6.9233448646227255E-004
   3.2999999523162842        2.1141666918992996E-002   6.7634783907957730E-004
   3.4000000953674316        1.9485667347908020E-002   6.1837100432780997E-004
   3.5000000000000000        2.1289333701133728E-002   6.7149434236578862E-004
   3.6000001430511475        1.8845999613404274E-002   5.9415519482403784E-004
   3.7000000476837158        1.7759665846824646E-002   5.6389327741088180E-004
   3.7999999523162842        1.7793333157896996E-002   5.7267603831768468E-004
   3.9000000953674316        1.7176333814859390E-002   5.1819498933807428E-004
   4.0000000000000000        1.6742333769798279E-002   5.2164125865951285E-004
