690	150.18663
690.1	4.80398
690.2	-160.57867
690.3	-85.96133
690.4	-101.34398
690.5	-116.72663
690.6	-122.10928
690.7	-97.49193
690.8	-52.87459
690.9	1.74276
691	-33.63989
691.1	-29.02254
691.2	-84.40519
691.3	-39.78784
691.4	-105.1705
691.5	-130.55315
691.6	-75.9358
691.7	-91.31845
691.8	-96.7011
691.9	-52.08375
692	-37.46641
692.1	7.15094
692.2	-28.23171
692.3	36.38564
692.4	91.00299
692.5	225.62033
692.6	330.23768
692.7	434.85503
692.8	489.47238
692.9	654.08973
693	868.70708
693.1	1223.32442
693.2	1507.94177
693.3	1922.55912
693.4	2317.17647
693.5	2511.79382
693.6	2496.41117
693.7	2351.02851
693.8	2225.64586
693.9	2200.26321
694	1964.88056
694.1	1919.49791
694.2	1744.11525
694.3	1928.7326
694.4	2233.34995
694.5	2677.9673
694.6	3392.58465
694.7	4067.202
694.8	4451.81934
694.9	4936.43669
695	4991.05404
695.1	4765.67139
695.2	4410.28874
695.3	3924.90608
695.4	3369.52343
695.5	2784.14078
695.6	2178.75813
695.7	1713.37548
695.8	1277.99283
695.9	852.61017
696	747.22752
696.1	681.84487
696.2	596.46222
696.3	441.07957
696.4	425.69692
696.5	260.31426
696.6	234.93161
696.7	189.54896
696.8	234.16631
696.9	128.78366
697	123.401
697.1	48.01835
697.2	32.6357
697.3	7.25305
697.4	41.8704
697.5	-53.51225
697.6	11.10509
697.7	-24.27756
697.8	-29.66021
697.9	-35.04286
698	99.57449
