692	-42.29248
692.1	-48.23877
692.2	15.81495
692.3	-20.13134
692.4	13.92237
692.5	27.97608
692.6	-17.97021
692.7	16.08351
692.8	70.13722
692.9	54.19093
693	118.24464
693.1	102.29836
693.2	106.35207
693.3	140.40578
693.4	224.45949
693.5	368.5132
693.6	572.56692
693.7	676.62063
693.8	870.67434
693.9	1144.72805
694	1408.78177
694.1	1622.83548
694.2	1776.88919
694.3	2050.9429
694.4	2124.99661
694.5	2009.05033
694.6	1863.10404
694.7	1727.15775
694.8	1651.21146
694.9	1635.26518
695	1689.31889
695.1	1803.3726
695.2	2097.42631
695.3	2401.48003
695.4	2835.53374
695.5	3139.58745
695.6	3673.64116
695.7	3867.69487
695.8	3851.74859
695.9	3755.8023
696	3489.85601
696.1	3273.90972
696.2	2837.96344
696.3	2332.01715
696.4	1976.07086
696.5	1510.12457
696.6	1184.17828
696.7	968.232
696.8	702.28571
696.9	576.33942
697	520.39313
697.1	414.44685
697.2	368.50056
697.3	262.55427
697.4	166.60798
697.5	150.66169
697.6	154.71541
697.7	38.76912
697.8	42.82283
697.9	66.87654
698	50.93026
